favoriteSlug,question_number,title,difficulty,ac_rate,topics,paidOnly,status,titleSlug
facebook-three-months,314,Binary Tree Vertical Order Traversal,Medium,0.576887873,Binary Tree;Breadth-First Search;Depth-First Search;Hash Table;Sorting;Tree,TRUE,TO_DO,binary-tree-vertical-order-traversal
facebook-three-months,322,Coin Change,Medium,0.477184274,Array;Breadth-First Search;Dynamic Programming,FALSE,TO_DO,coin-change
facebook-three-months,329,Longest Increasing Path in a Matrix,Hard,0.561573909,Array;Breadth-First Search;Depth-First Search;Dynamic Programming;Graph;Matrix;Memoization;Topological Sort,FALSE,TO_DO,longest-increasing-path-in-a-matrix
facebook-three-months,330,Patching Array,Hard,0.539848177,Array;Greedy,FALSE,TO_DO,patching-array
facebook-three-months,333,Largest BST Subtree,Medium,0.457643141,Binary Search Tree;Binary Tree;Depth-First Search;Dynamic Programming;Tree,TRUE,TO_DO,largest-bst-subtree
facebook-three-months,334,Increasing Triplet Subsequence,Medium,0.391718194,Array;Greedy,FALSE,TO_DO,increasing-triplet-subsequence
facebook-three-months,338,Counting Bits,Easy,0.802613875,Bit Manipulation;Dynamic Programming,FALSE,TO_DO,counting-bits
facebook-three-months,339,Nested List Weight Sum,Medium,0.85873873,Breadth-First Search;Depth-First Search,TRUE,TO_DO,nested-list-weight-sum
facebook-three-months,344,Reverse String,Easy,0.803691378,String;Two Pointers,FALSE,TO_DO,reverse-string
facebook-three-months,345,Reverse Vowels of a String,Easy,0.602011445,String;Two Pointers,FALSE,TO_DO,reverse-vowels-of-a-string
facebook-three-months,346,Moving Average from Data Stream,Easy,0.801656716,Array;Data Stream;Design;Queue,TRUE,TO_DO,moving-average-from-data-stream
facebook-three-months,347,Top K Frequent Elements,Medium,0.655311691,Array;Bucket Sort;Counting;Divide and Conquer;Hash Table;Heap (Priority Queue);Quickselect;Sorting,FALSE,TO_DO,top-k-frequent-elements
facebook-three-months,348,Design Tic-Tac-Toe,Medium,0.587166992,Array;Design;Hash Table;Matrix;Simulation,TRUE,TO_DO,design-tic-tac-toe
facebook-three-months,349,Intersection of Two Arrays,Easy,0.772833905,Array;Binary Search;Hash Table;Sorting;Two Pointers,FALSE,TO_DO,intersection-of-two-arrays
facebook-three-months,368,Largest Divisible Subset,Medium,0.492741549,Array;Dynamic Programming;Math;Sorting,FALSE,TO_DO,largest-divisible-subset
facebook-three-months,378,Kth Smallest Element in a Sorted Matrix,Medium,0.641904882,Array;Binary Search;Heap (Priority Queue);Matrix;Sorting,FALSE,TO_DO,kth-smallest-element-in-a-sorted-matrix
facebook-three-months,380,Insert Delete GetRandom O(1),Medium,0.552087135,Array;Design;Hash Table;Math;Randomized,FALSE,TO_DO,insert-delete-getrandom-o1
facebook-three-months,383,Ransom Note,Easy,0.654216501,Counting;Hash Table;String,FALSE,TO_DO,ransom-note
facebook-three-months,387,First Unique Character in a String,Easy,0.646947345,Counting;Hash Table;Queue;String,FALSE,TO_DO,first-unique-character-in-a-string
facebook-three-months,394,Decode String,Medium,0.62064642,Recursion;Stack;String,FALSE,TO_DO,decode-string
facebook-three-months,398,Random Pick Index,Medium,0.649267722,Hash Table;Math;Randomized;Reservoir Sampling,FALSE,TO_DO,random-pick-index
facebook-three-months,405,Convert a Number to Hexadecimal,Easy,0.528080727,Bit Manipulation;Math;String,FALSE,TO_DO,convert-a-number-to-hexadecimal
facebook-three-months,408,Valid Word Abbreviation,Easy,0.369971589,String;Two Pointers,TRUE,TO_DO,valid-word-abbreviation
facebook-three-months,410,Split Array Largest Sum,Hard,0.595203236,Array;Binary Search;Dynamic Programming;Greedy;Prefix Sum,FALSE,TO_DO,split-array-largest-sum
facebook-three-months,415,Add Strings,Easy,0.520672606,Math;Simulation;String,FALSE,TO_DO,add-strings
facebook-three-months,419,Battleships in a Board,Medium,0.772156503,Array;Depth-First Search;Matrix,FALSE,TO_DO,battleships-in-a-board
facebook-three-months,424,Longest Repeating Character Replacement,Medium,0.587007767,Hash Table;Sliding Window;String,FALSE,TO_DO,longest-repeating-character-replacement
facebook-three-months,426,Convert Binary Search Tree to Sorted Doubly Linked List,Medium,0.656255108,Binary Search Tree;Binary Tree;Depth-First Search;Doubly-Linked List;Linked List;Stack;Tree,TRUE,TO_DO,convert-binary-search-tree-to-sorted-doubly-linked-list
facebook-three-months,430,Flatten a Multilevel Doubly Linked List,Medium,0.623348237,Depth-First Search;Doubly-Linked List;Linked List,FALSE,TO_DO,flatten-a-multilevel-doubly-linked-list
facebook-three-months,443,String Compression,Medium,0.59284431,String;Two Pointers,FALSE,TO_DO,string-compression
facebook-three-months,448,Find All Numbers Disappeared in an Array,Easy,0.634709134,Array;Hash Table,FALSE,TO_DO,find-all-numbers-disappeared-in-an-array
facebook-three-months,468,Validate IP Address,Medium,0.281384096,String,FALSE,TO_DO,validate-ip-address
facebook-three-months,480,Sliding Window Median,Hard,0.388626172,Array;Hash Table;Heap (Priority Queue);Sliding Window,FALSE,TO_DO,sliding-window-median
facebook-three-months,485,Max Consecutive Ones,Easy,0.642026368,Array,FALSE,TO_DO,max-consecutive-ones
facebook-three-months,489,Robot Room Cleaner,Hard,0.778421767,Backtracking;Interactive,TRUE,TO_DO,robot-room-cleaner
facebook-three-months,493,Reverse Pairs,Hard,0.33439832,Array;Binary Indexed Tree;Binary Search;Divide and Conquer;Merge Sort;Ordered Set;Segment Tree,FALSE,TO_DO,reverse-pairs
facebook-three-months,498,Diagonal Traverse,Medium,0.668937903,Array;Matrix;Simulation,FALSE,TO_DO,diagonal-traverse
facebook-three-months,509,Fibonacci Number,Easy,0.736814395,Dynamic Programming;Math;Memoization;Recursion,FALSE,TO_DO,fibonacci-number
facebook-three-months,518,Coin Change II,Medium,0.60693125,Array;Dynamic Programming,FALSE,TO_DO,coin-change-ii
facebook-three-months,523,Continuous Subarray Sum,Medium,0.311423444,Array;Hash Table;Math;Prefix Sum,FALSE,TO_DO,continuous-subarray-sum
facebook-three-months,528,Random Pick with Weight,Medium,0.488242175,Array;Binary Search;Math;Prefix Sum;Randomized,FALSE,TO_DO,random-pick-with-weight
facebook-three-months,529,Minesweeper,Medium,0.685884371,Array;Breadth-First Search;Depth-First Search;Matrix,FALSE,TO_DO,minesweeper
facebook-three-months,540,Single Element in a Sorted Array,Medium,0.591868161,Array;Binary Search,FALSE,TO_DO,single-element-in-a-sorted-array
facebook-three-months,543,Diameter of Binary Tree,Easy,0.647909506,Binary Tree;Depth-First Search;Tree,FALSE,TO_DO,diameter-of-binary-tree
facebook-three-months,545,Boundary of Binary Tree,Medium,0.477411121,Binary Tree;Depth-First Search;Tree,TRUE,TO_DO,boundary-of-binary-tree
facebook-three-months,547,Number of Provinces,Medium,0.697690705,Breadth-First Search;Depth-First Search;Graph;Union Find,FALSE,TO_DO,number-of-provinces
